Date,Type,Gender,weather,Path
2002-04-24 20:42:02,,,,dataset\formal_men_summer\Mens Summer Perfect Fabric Shirts Linen Shirts.jpeg
2012-05-29 22:47:30,,,Summer,dataset\beach_men\What To Wear In Greece_ 20 Outfit Ideas for Men.jpeg
2011-12-29 03:52:08,,,,dataset\casual_men_summer\dce0cc20-48bc-4c22-b8d5-15a6e84539e0.jpeg
2000-11-07 11:18:12,,,,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.56.52_480ca407.jpg
2003-02-18 07:58:34,,,,dataset\casual_women_winter\Screenshot_20240104-133752.png
2019-05-30 09:38:51,,,Winter,dataset\beach_men\Orlebar Brown Spring Summer 19 (1).jpeg
2019-09-04 18:00:50,,,,"dataset\formal_men_summer\New arrivals for men, women and children.jpeg"
2015-03-10 22:27:10,,,,dataset\casual_men_summer\Screenshot_20231230-165759.png
2019-04-22 14:24:42,,,,dataset\formal_men_summer\new shirt collection Gallery.jpeg
2000-01-18 19:07:56,,,,dataset\casual_women_summer\Screenshot_20240104-131549.png
2001-01-27 16:25:54,,,,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.57.31_e8234380.jpg
2011-03-16 17:32:49,,,,dataset\formal_women_winter\Ann Taylor The Ankle Pant in Double Knit Size 8 Pure Sapphire Women_s.jpeg
2004-04-19 09:37:35,,,,dataset\formal_men_summer\Rabbani fashion designer ❤️.jpeg
2020-04-05 20:42:19,,,,dataset\formal_men_summer\Men's  Clothing & Apparel _ Zazzle.jpeg
2013-09-03 23:25:21,,,,dataset\formal_men_summer\c01916bf-91de-4110-8202-08d5e727d9f7.jpeg
2020-07-09 21:19:13,,,,dataset\casual_women_summer\pretty outfits __ y2k outfits __ fall outfits 2023.jpeg
2015-05-05 04:43:54,,,,dataset\formal_men_summer\Traveler Stretch Dress Shirt for Tall Men in White - M _ Tall _ White.jpeg
2013-06-26 09:29:48,,,,dataset\casual_women_summer\Screenshot_20240104-133203.png
2018-03-30 06:48:39,,,,dataset\casual_men_winter\Screenshot_20231230-165516.png
2019-01-27 14:04:49,,,,dataset\casual_men_summer\Screenshot_20231230-170355.png
2000-11-14 22:06:49,,,,dataset\casual_women_summer\Screenshot_20240104-131617.png
2006-10-20 16:35:57,,,,dataset\casual_women_summer\Screenshot_20240104-131000.png
2006-05-07 10:00:36,,,,dataset\formal_men_summer\men_s outfit.jpeg
2001-10-22 22:57:41,,,,dataset\formal_men_winter\If Your Version of Business Casual Includes a Tie___ (1).jpeg
2001-12-12 19:38:11,,,,dataset\casual_men_winter\e85446a621ce10a89b33e5cafe8a0f32.jpg
2000-03-29 14:07:04,,,,dataset\casual_women_winter\cute comfy fits.jpeg
2000-07-07 09:00:22,,,,dataset\formal_men_summer\Best Casual wear for men images _ Men Fashion _ Menswear.jpeg
2014-12-10 09:56:34,,,,dataset\formal_women_summer\Classical Work Outfit For Winter - FashionActivation.jpeg
2014-05-14 20:29:08,,,,dataset\formal_men_summer\My 5 Favorite Men's Wear Trends And Sustainable Brands _ Part 5 - _ Work Outfits Men.jpeg
2012-04-20 16:44:28,,,,dataset\formal_men_summer\9c25a17c-7802-4ed9-b345-9924baf963cf.jpeg
2001-10-06 15:42:06,,,,dataset\casual_men_winter\old money aesthetic outfits men.jpeg
2009-06-27 05:44:22,,,,dataset\casual_men_summer\Old Money Men_s Fashion 2024_ 30 Outfits You Need to Know (1).jpeg
2011-06-06 05:36:08,,,,dataset\casual_women_winter\84cb87ed-63fc-4312-9a62-b8f45017cfd8.jpeg
